challenge_id,user_id,team_id,id,ip,provided,type,date
26,10,,1471,169.231.158.107,ictf{W3ll_Th1s_1s_4n_1nt3rpr3t3r},correct,2024-11-22 01:17:46.744393
26,5,,1481,138.204.25.169,ictf{W3ll_Th1s_1s_4n_1nt3rpr3t3r},correct,2024-11-22 01:19:24.859626
25,18,,1496,169.231.133.230,ictf{the_matrix},correct,2024-11-22 01:23:54.191552
26,8,,1506,38.124.72.120,ictf{W3ll_Th1s_1s_4n_1nt3rpr3t3r},correct,2024-11-22 01:25:29.325480
27,11,,1513,103.94.134.48,ictf{mInd_th3_Len9th_0f_Y0ur_1npu7},correct,2024-11-22 01:28:17.571391
27,34,,1549,24.145.46.133,ictf{mInd_th3_Len9th_0f_Y0ur_1npu7},correct,2024-11-22 01:41:39.245233
24,11,,1552,103.94.134.48,ictf{iCTF-2024-best},correct,2024-11-22 01:44:15.442629
25,8,,1567,38.124.72.120,ictf{the_matrix},correct,2024-11-22 02:02:54.324117
26,34,,1592,24.145.46.133,ictf{W3ll_Th1s_1s_4n_1nt3rpr3t3r},correct,2024-11-22 02:26:04.372300
24,35,,1654,136.36.171.204,ictf{iCTF-2024-best},correct,2024-11-22 02:46:48.408818
24,32,,1665,184.161.253.153,ictf{iCTF-2024-best},correct,2024-11-22 02:56:19.568982
26,32,,1680,184.161.253.153,ictf{W3ll_Th1s_1s_4n_1nt3rpr3t3r},correct,2024-11-22 03:01:32.360138
27,32,,1682,184.161.253.153,ictf{mInd_th3_Len9th_0f_Y0ur_1npu7},correct,2024-11-22 03:03:39.012371
24,39,,1771,123.63.2.2,ictf{iCTF-2024-best},correct,2024-11-22 03:49:22.444120
26,39,,1796,42.104.145.11,ictf{W3ll_Th1s_1s_4n_1nt3rpr3t3r},correct,2024-11-22 03:57:27.821026
27,39,,1797,42.104.145.11,ictf{mInd_th3_Len9th_0f_Y0ur_1npu7},correct,2024-11-22 03:59:03.376093
25,39,,1810,42.104.145.11,ictf{the_matrix},correct,2024-11-22 04:02:53.620624
21,18,,1811,169.231.200.123,ictf{I_4m_4ctua11y_wh4t_c4n_be_used_4s_th3_p1N_f0r_th3_r0b0t},correct,2024-11-22 04:28:45.096569
25,11,,1815,103.94.134.6,ictf{the_matrix},correct,2024-11-22 04:50:36.063110
26,19,,1816,71.207.15.92,ictf{W3ll_Th1s_1s_4n_1nt3rpr3t3r},correct,2024-11-22 04:58:07.847026
27,19,,1817,71.207.15.92,ictf{mInd_th3_Len9th_0f_Y0ur_1npu7},correct,2024-11-22 05:04:20.918125
15,8,,1820,73.120.197.48,"ictf{2,8,4,9,1,6}",correct,2024-11-22 05:25:54.172809
17,8,,1821,73.120.197.48,ictf{189},correct,2024-11-22 05:32:37.754078
24,28,,1826,68.202.27.104,ictf{iCTF-2024-best},correct,2024-11-22 05:52:03.873425
27,28,,1829,68.202.27.104,ictf{mInd_th3_Len9th_0f_Y0ur_1npu7},correct,2024-11-22 06:14:12.962240
24,12,,1844,103.161.55.208,ictf{iCTF-2024-best},correct,2024-11-22 06:24:31.515547
6,28,,1871,68.202.27.104,ictf{well_d0n3_on_s0lv1ng_th1s_ch4ll3ng3_hackchatai24},correct,2024-11-22 07:36:37.858449
26,28,,1873,68.202.27.104,ictf{W3ll_Th1s_1s_4n_1nt3rpr3t3r},correct,2024-11-22 08:02:44.506192
12,32,,1916,136.54.64.211,ictf{XOR_Encryption_Is_Not_Secure},correct,2024-11-22 09:12:36.649603
21,39,,1942,175.184.253.10,ictf{I_4m_4ctua11y_wh4t_c4n_be_used_4s_th3_p1N_f0r_th3_r0b0t},correct,2024-11-22 09:37:45.841471
13,12,,1956,103.148.20.78,ictf{Oops I forgot!},correct,2024-11-22 13:55:11.926899
26,12,,1957,103.148.20.78,ictf{W3ll_Th1s_1s_4n_1nt3rpr3t3r},correct,2024-11-22 14:06:56.092249
22,12,,1964,103.148.20.78,ictf{calabrifornia},correct,2024-11-22 15:04:05.863735
22,32,,2089,24.231.90.168,ictf{calabrifornia},correct,2024-11-22 18:38:21.525337
14,10,,2169,68.2.155.92,ictf{b01ng_b01ng_U_g0t_me},correct,2024-11-22 19:38:59.561686
23,33,,2183,169.231.102.224,ictf{Th0ught_Th3_WAF_Was_My_Sh1eld},correct,2024-11-22 20:16:09.054599
20,32,,2184,163.5.171.6,ictf{Neural_Networks_Can_Keep_Secrets!},correct,2024-11-22 20:21:49.605940
22,34,,2203,24.145.46.133,ictf{calabrifornia},correct,2024-11-22 20:55:06.494017
21,32,,2330,152.7.255.207,ictf{I_4m_4ctua11y_wh4t_c4n_be_used_4s_th3_p1N_f0r_th3_r0b0t},correct,2024-11-22 22:05:42.349623
25,32,,2586,152.7.255.198,ictf{the_matrix},correct,2024-11-22 23:31:32.599551
